                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                0.51013,                0.49624,                 1.0251,                0.90568,                0.83486,                0.90291,                0.71752,                0.77511,                0.64718,                 1.3924,             0.00094636,             0.00094636,             0.00094636
                    134,                0.51233,                0.50597,                 1.0445,                0.92943,                0.76731,                0.88702,                0.70371,                0.77271,                0.72314,                 1.3876,             0.00094085,             0.00094085,             0.00094085
                    135,                0.51616,                0.48686,                 1.0261,                0.91824,                0.82127,                0.89259,                0.71687,                0.78491,                 0.6534,                 1.3947,             0.00093535,             0.00093535,             0.00093535
                    136,                0.50923,                0.48505,                 1.0285,                0.92686,                0.81913,                 0.8896,                0.70654,                0.79997,                0.67361,                 1.4232,             0.00092985,             0.00092985,             0.00092985
                    137,                0.50605,                0.47244,                 1.0265,                0.91952,                0.83065,                0.89754,                0.71592,                 0.7535,                0.66327,                  1.373,             0.00092435,             0.00092435,             0.00092435
                    138,                0.51857,                0.49375,                 1.0451,                0.88125,                0.83065,                0.89499,                0.71515,                0.72179,                0.63187,                 1.2898,             0.00091885,             0.00091885,             0.00091885
                    139,                0.50816,                0.52906,                 1.0212,                0.91882,                0.78832,                0.89438,                0.72906,                0.74054,                0.61518,                 1.3108,             0.00091335,             0.00091335,             0.00091335
                    140,                 0.4864,                0.48648,                 1.0189,                0.86472,                 0.8243,                 0.8917,                0.73368,                0.75007,                0.64273,                  1.319,             0.00090785,             0.00090785,             0.00090785
                    141,                0.48823,                0.46585,                 1.0121,                0.85573,                0.78069,                 0.8806,                0.72836,                0.66245,                0.66336,                 1.2114,             0.00090235,             0.00090235,             0.00090235
                    142,                0.50358,                0.49382,                 1.0192,                  0.905,                0.76374,                0.88177,                0.72587,                0.69173,                0.62942,                  1.239,             0.00089685,             0.00089685,             0.00089685
                    143,                0.48811,                0.45868,                  1.001,                0.91155,                0.83065,                0.90616,                0.72503,                0.70271,                0.61117,                  1.267,             0.00089134,             0.00089134,             0.00089134
                    144,                0.50926,                0.46896,                 1.0284,                0.89909,                0.83451,                0.90352,                0.73509,                0.69608,                 0.5883,                 1.3063,             0.00088584,             0.00088584,             0.00088584
                    145,                0.48024,                0.46469,                 1.0066,                0.89331,                0.82778,                 0.9027,                0.72196,                0.74858,                0.61106,                 1.3613,             0.00088034,             0.00088034,             0.00088034
                    146,                0.49449,                0.47591,                 1.0226,                0.93771,                0.78493,                0.90347,                 0.7095,                 0.7868,                0.58541,                 1.4324,             0.00087484,             0.00087484,             0.00087484
                    147,                0.50194,                0.48225,                 1.0242,                0.94447,                0.75941,                0.89539,                0.71859,                0.74707,                0.62327,                  1.365,             0.00086934,             0.00086934,             0.00086934
